user_id,login_count,login_failed_count,login_failure_rate,unique_ip_count,ip_entropy,offhours_login_count,offhours_login_ratio,multi_ip_day_count,brute_force_max_burst,unique_device_count,geo_impossible_login_count,total_deposits,total_withdrawals,deposit_count,withdrawal_count,deposit_withdrawal_ratio,small_deposit_count,small_deposit_ratio,deposit_amount_std,deposit_amount_cv,dormant_withdrawal_flag,has_dep_with_cycle,deposit_to_withdrawal_mean_h,deposit_to_withdrawal_min_h,kyc_before_withdrawal_flag,bonus_abuse_flag,trade_count,mean_volume,std_volume,max_volume,volume_spike_ratio,mean_lot_size,max_lot_size,mean_trade_duration_s,min_trade_duration_s,total_pnl,mean_pnl,pnl_std,pnl_sharpe,win_rate,latency_arb_trade_count,latency_arb_ratio,unique_instruments,instrument_gini,top_instrument_ratio,direction_imbalance,trades_per_day,volume_pop_zscore,lot_pop_zscore,duration_pop_zscore,news_window_trade_ratio,mean_margin_used,max_margin_used,mean_session_duration,std_session_duration,min_session_duration,bot_speed_pageview_count,bot_speed_ratio,event_type_entropy,support_ticket_count,account_modify_count,password_change_count,event_bigram_entropy,rolling_7d_volume_zscore,rolling_30d_volume_zscore,rolling_7d_trade_count_zscore,rolling_7d_pnl_zscore,rolling_data_coverage_days,rolling_7d_deposit_zscore,rolling_7d_login_count_zscore,rolling_7d_withdrawal_zscore,mean_inter_login_hours,std_inter_login_hours,min_inter_login_sec,login_to_trade_mean_min,fingerprint_entropy,fingerprint_mismatch_count,device_rotation_rate,ip_hub_score,device_sharing_score,max_users_per_shared_ip,graph_component_size,graph_betweenness,sync_trade_count,collusion_risk_score,concept_drift_volume_ratio,concept_drift_trade_ratio,trade_dow_gini,trade_hour_entropy,portal_hour_entropy,login_risk_score,financial_risk_score,trading_risk_score,network_risk_score,composite_risk_score,moving_avg_volume_7d,moving_avg_volume_30d,std_volume_7d,ratio_short_long,z_score_volume,rolling_std_login,delta_volume
U0001,-0.01820956,0.02681818,0.008236249,0.0078966115,-0.030865068,0.032639273,0.0024530522,0.033707477,0.019887367,-0.069759205,0.021616332,-0.020196218,0.009761656,0.004580678,0.035855938,0.0058114785,0.019249484,0.04215163,0.015533112,0.019096794,0.0,0.027832411,0.025927618,0.019711819,0.033407282,0.011952976,0.0018661886,0.007960881,0.012757388,0.015726969,0.006545655,0.010398638,0.017985336,0.019562537,-0.01410858,-0.00042938025,0.010535313,0.009408531,0.035886154,0.019099096,0.0078520635,0.011298801,0.04819129,0.026737377,0.018211069,0.015056582,0.026971806,0.023891555,0.025192617,0.021210646,0.025004478,0.024513971,0.00984145,-0.041655116,-0.0073703937,0.019434305,0.024044126,0.017206658,0.01723151,0.020287529,-0.009072197,-0.15407303,0.018035108,-0.025866713,0.027552493,-0.11224367,0.012003455,-0.0120050665,0.025612345,0.0034899584,0.020003472,0.0014431841,0.023754686,0.022582047,0.011501812,0.0065608555,0.006071926,0.0021401404,0.022043249,0.027894158,0.024238093,-0.07539496,0.022181263,-0.01262358,-0.008520222,0.013659871,0.0023539835,0.033082668,0.05423383,-0.017577907,-0.032807823,0.025391918,0.016750835,0.005093634,0.019324623,-0.021774804,0.02467614,0.014984956,0.008247922,-0.00015488418,0.026585352,0.010074181
U0002,0.03316314,0.00978551,0.001836278,-0.0014858182,-0.012560746,0.019486763,0.021925656,0.028637365,0.021394257,-0.0006935807,0.022483196,0.021796854,0.008852543,0.016497735,-0.005761791,-0.0062687895,0.018241117,0.035588812,0.025045214,-0.0119802775,0.0,0.027040856,-0.070248336,-0.043305542,0.033879876,0.011046471,0.031765178,-0.15028477,-0.043206237,-0.025092471,0.012370284,0.00832346,0.0039157826,0.023547634,0.030718198,-0.020166341,-0.022843506,-0.07711601,0.03581774,0.024253456,0.0067976876,0.009876589,0.045359824,0.018781569,0.013544325,0.021049308,0.02805962,-0.22056931,0.021676347,0.02594793,-0.035852674,-0.13919337,-0.13671058,0.041241303,0.006147859,-0.26785597,0.022993097,0.016367503,0.019052032,0.021209946,0.02473013,-0.034305334,0.002820617,-0.022599055,-0.17509846,0.022122616,0.0054269843,0.030310692,-0.030189125,0.035461817,0.013850734,-0.003543361,-0.034499574,0.026814261,0.012328967,0.006752664,0.007680142,0.018821191,0.023974141,0.021425914,0.02120859,0.03873874,0.02529755,0.028102454,0.038812898,0.013474699,0.003220064,0.008674752,0.057956118,0.045048784,0.018461429,0.0036724845,0.014504607,0.010539901,0.020329705,0.0009954807,-0.16833098,-0.21165583,0.009829022,-0.14404812,0.01813135,0.005407197
U0003,-0.038432445,0.002272714,-0.051426284,0.005435903,-0.03697396,0.03317837,0.007836575,0.037313826,0.023858024,0.023136891,0.023388151,-0.0322384,-0.00893289,0.0063982643,0.032568105,0.015335897,0.016722677,0.040156603,0.013546099,0.03117443,0.0,0.026581567,0.025623778,0.0387874,0.03772493,0.014902554,0.018161507,0.018519664,0.012875992,0.016558994,0.009434924,0.0040039276,-0.021098793,0.018997034,0.036763407,0.020468837,0.019155482,0.015573846,0.024740176,0.019057795,0.007374909,0.009619698,0.04930857,-0.012934864,0.0148950685,0.017307904,0.0053623915,0.031067524,-0.034845535,0.0005536245,0.03085381,0.023759732,0.029510565,0.013091935,0.014597442,0.042971358,-0.07811101,-0.07306609,0.021303825,-0.007653004,-0.11659342,-0.011877789,0.011513099,0.015716808,0.02759199,0.026601529,0.02036717,0.026094615,0.01759017,0.028297884,0.03157393,0.009955402,0.027527655,0.008712088,0.009831675,0.0060014217,0.006761412,-0.15937637,0.022517636,-0.21368358,0.019634051,-0.05456956,-0.031281643,0.056323867,-0.013242983,0.022282591,0.0021412976,0.011109858,0.03789896,0.039161265,0.014666076,0.020661531,0.011915962,-0.010140773,0.008257977,0.0126591455,-0.0060962145,0.019784296,0.010300822,0.0128347995,0.0053572557,0.013298723
U0004,0.023948275,0.021960748,0.031544734,0.001962004,-0.01233148,0.035278965,0.029059771,0.0318058,0.020308875,-0.040277846,0.024097933,0.007303065,0.009628152,-0.00029812826,0.032076992,0.011711443,-0.34057704,-0.7564199,-0.00023959459,0.033377636,0.0,0.028044526,-0.010110061,0.035081033,0.034369674,0.012208533,-0.06600939,0.037462384,0.015624253,0.020456905,0.006901056,0.014684685,0.014958973,0.02474981,0.028367827,-0.015389336,0.002794887,0.015802,0.022524878,0.023850845,0.0080880225,0.01110659,0.03623095,0.025782768,0.0180902,0.01724778,-0.042732235,0.018012786,0.026869921,0.022159668,-0.042195164,0.020495277,0.03186658,0.03783206,0.02112833,0.03178717,0.020640444,0.023899162,0.008221008,0.019344686,0.024005352,0.022863511,0.024456093,0.010458468,0.029522277,-0.034246255,0.016488649,-0.01590186,0.020384781,0.0020215956,-0.017476913,0.028299304,0.022122366,0.019935071,0.0033441433,0.007427511,0.00818753,0.013456752,0.01883017,0.024163172,0.023962226,0.051439893,0.023423288,-0.12076932,0.01925858,0.022407997,0.006029073,0.024546625,0.051876366,0.004921063,0.0048913695,-0.018221742,0.0027966325,0.0050483244,0.00953963,0.012040991,0.023798764,0.024422178,0.010746458,0.030486207,0.013200022,0.009356138
U0005,0.0076848418,0.013797181,-0.020354545,0.005283131,0.010673708,-0.03038705,-0.06570456,0.032763366,0.018888917,-0.026911722,0.021930031,0.012995815,0.020813156,0.024917264,-0.08973982,-0.011818732,0.020835763,0.040174354,0.026280174,0.025554506,0.0,-0.35958335,-0.058873307,0.0052229804,0.03416458,0.014428415,0.030300839,0.018211793,0.013582761,0.013686357,0.0076785884,-0.0706772,-0.00024755482,0.026503544,0.035907187,0.022893053,0.019034427,0.0106581785,0.036465205,0.026374964,0.0071695033,0.010787105,0.045640793,0.026788276,0.016065648,0.015029781,0.027700193,0.026614992,-0.09323002,0.024041122,0.025815435,0.019517845,0.011216078,-0.009983298,0.013931054,-0.012382036,0.025887324,0.016706241,0.034330476,-0.0048329155,0.031803124,-0.013419312,0.028659528,0.01985736,0.03314491,0.034622885,0.0026642077,0.04895634,0.022191929,0.005701834,0.020820037,-0.009272019,0.018659987,-0.03779774,0.0067099095,0.007439397,0.007068264,0.01774076,0.022260267,0.014805305,0.023236359,0.04338037,0.023735885,0.045918047,0.008422196,0.026389979,0.0039677555,0.02076195,0.045137543,0.04408319,-0.0036545298,0.024603805,0.013617267,0.014209977,0.017496722,0.011606849,-0.014298976,0.019650185,0.010201413,0.0025166755,-0.0072246674,0.011647799
U0006,-0.0010363838,0.021267762,0.019690717,-0.005286717,-0.011772031,0.02894227,0.008109446,0.02695887,0.024146326,-0.0046703718,0.02002175,0.012836198,0.0059457608,0.008100316,-0.07821455,0.0038765853,0.01897283,0.03818638,0.010250025,-0.060195945,0.0,0.026814556,0.014733863,0.021615094,0.033771154,0.012104349,0.009032789,-0.1297562,-0.04160813,-0.030126223,0.012374867,0.017544853,-0.0024561414,0.014258314,0.009334219,-0.0025216166,-0.025520107,-0.069103934,0.021881472,0.023485152,0.007758552,0.01037748,0.047799744,0.030449333,0.017952811,0.019378243,0.009547256,-0.19857617,0.023867434,0.026266657,0.029061176,-0.12960173,-0.14473332,0.03608414,0.013729872,0.04399801,0.022377439,0.01741164,0.012146898,-0.030925568,-0.0021003403,0.029317902,0.0068945666,0.01637263,-0.08637648,0.039051052,0.014283606,0.039653387,-0.031284813,0.0017319238,-0.004035548,0.013397317,0.005079242,0.023009881,-0.057703163,0.0052438714,0.0063478067,-0.044521786,0.020984989,-0.03357966,0.020248784,-0.033649236,-0.23634477,0.03332951,-0.03204145,0.020609867,-0.0047405018,0.02511503,0.006158089,0.048901264,0.026472459,-0.042524032,0.014234854,0.02403602,0.010046509,0.006859739,-0.053069793,-0.046336442,0.011867551,-0.12806685,-0.009109121,0.0051653357
U0007,0.012929999,0.005872389,0.014093915,0.0029989488,-0.01884193,0.031878967,0.0057941154,0.035778,0.021413963,0.04197678,0.022815771,0.021437004,0.014809542,0.021235105,-0.0011427283,-0.003135502,-0.04639297,-0.089448005,0.025720106,0.032551277,0.0,0.03194441,0.015411654,-0.030253705,0.035714053,0.012830399,0.017837135,0.024978964,0.02016402,0.017891612,0.0025517715,-0.0020331373,-0.019118495,-0.043025725,-0.02210769,0.017628396,0.01927387,0.013179026,-0.013578902,-0.10075467,0.0078527015,0.010149096,0.04763144,0.012619382,0.015366495,0.014712061,-0.016284097,0.035510242,-0.011836476,-0.19792202,0.025710506,0.020690791,0.029040974,0.023597544,0.02107173,0.036748335,0.018396057,0.016436534,0.0071998658,0.020036507,0.023922151,-0.015036876,0.013383318,0.0014972893,0.029768214,-0.10194845,-0.0044590286,0.004729735,0.021238508,0.018216018,0.031132454,0.020906892,-0.033160083,-0.060543004,-0.005939725,0.0067897243,0.0074567026,0.026321022,0.021819975,0.03681554,0.019875722,0.04369197,0.022198055,0.044763047,0.0007093561,0.026608197,0.004499692,0.031609282,0.022904715,-0.1401637,-0.02586979,0.0083747525,-0.005167369,0.01572916,0.020474829,-0.0020198356,0.0031679631,0.00070565566,0.009999757,0.025652427,0.014526237,0.012548856
U0008,-0.0027581938,0.005172886,0.013523959,0.012040431,0.012677265,0.031271998,0.006138309,0.03121222,0.024214206,0.039384745,0.020252276,0.018749366,0.016250635,0.016649317,0.028660001,0.014739402,0.018370967,0.03897182,0.02815241,0.029381534,0.0,0.030177569,-0.0043830774,-0.036735862,0.0282687,-0.29061997,-0.01161848,0.015518898,0.018708821,0.014072695,0.0068670344,0.005097837,-0.0048142634,0.012821316,-0.30730352,0.018349895,0.02107399,0.016372804,0.010012822,0.020383948,0.006288488,0.009565704,-0.25872114,0.020017985,-0.031810135,0.011405984,-0.030002167,0.0271159,0.016301315,0.01662285,0.018878875,0.020987364,0.028936666,-0.024101296,0.019506212,-0.16665076,0.023542766,0.021986987,0.030350817,-0.011355523,0.035518486,-0.0033284707,0.014641312,0.027372526,0.022786023,0.030921826,0.009224988,-0.109173305,0.0093014175,0.017405761,0.0132729355,0.025717245,-0.049448397,-0.0006067206,-0.025966361,0.006372043,0.0072483364,0.02824966,0.018489791,0.042765368,0.02331236,-0.062209353,-0.011473132,-0.028732361,-0.00984818,0.018873954,-0.011571589,-0.29505512,-0.2830347,0.05276231,0.009044747,0.035221882,0.022633309,0.012188343,0.022636142,0.014304319,0.025233114,0.014031745,0.009487239,0.011391806,0.018061407,0.009758901
U0009,0.003062437,0.009913988,-0.0486084,0.009537817,0.029424524,0.029222634,-0.00422908,0.03459674,0.019849831,-0.017954664,0.021628486,0.002328861,0.014285293,0.0048680385,-0.10321173,-0.014416258,0.019284656,0.041706152,0.020018699,0.03354267,0.0,-0.27405128,-0.05305796,0.016991638,0.032014035,0.013191038,-0.053889718,-0.016614266,-0.012921098,0.004990821,0.010716036,0.008873898,0.020998651,0.017848756,0.036614913,0.004353898,0.020059207,-0.0058959797,0.036268387,0.025049377,0.008992082,0.010637528,0.043925673,0.019938814,0.015458475,0.019892724,0.0022194232,-0.028539447,0.02783768,-0.011870999,0.025345176,-0.009986427,-0.033637658,0.041143492,-0.008893975,0.028817382,-0.1174605,-0.025181558,-0.05920646,-0.04055179,-0.02216641,0.017295875,-0.0066220383,0.006323259,-0.11183446,0.005859053,0.010460323,-0.018470611,0.022735208,0.0100582875,0.019564562,0.0068655,0.0106903585,0.015036864,0.011453864,0.006615173,0.0066880966,0.018523604,0.02386103,0.047899686,0.0234367,-0.087544926,0.023687162,-0.101255074,-0.00764455,0.023208838,0.007135605,-0.01991035,0.036351006,0.039922588,0.024064621,-0.012957559,0.012414419,0.0051271594,0.018037168,-0.012754157,-0.05232135,-0.00086857093,0.001289091,-0.02480619,0.013593723,0.008082059
U0010,-0.0103172995,0.022284416,-0.031944714,0.0022024924,-0.00728188,0.026914464,0.014930491,0.032333113,0.02160309,0.028868187,0.021215612,0.022574918,0.011797806,0.012940619,-0.120338656,0.009774068,0.019129308,0.043169625,0.02182361,0.0026714583,0.0,0.027585251,0.019107083,0.0015195019,0.03842227,0.011079915,0.009949492,0.03088747,0.015190217,0.016176118,-0.010755477,0.012156929,0.014184082,0.021989865,-0.0370128,0.018212067,0.018726641,0.014797844,0.037097294,0.022892442,0.008329281,0.012274354,0.045548785,0.024675755,0.018905178,0.020502303,0.017189872,0.021153785,0.026046634,0.027129242,-0.012538846,0.019216396,0.017376043,0.041838173,0.0013811849,0.029763088,0.025992742,0.017675018,-0.06596696,0.02268084,-0.042028856,-0.015749112,-0.0027863916,0.018147785,0.036244255,0.03726933,-0.009441666,-0.016406937,0.01642687,0.019522099,0.016969187,-0.0031644364,-0.031683702,-0.05318176,0.011496981,0.0057978,0.008404886,0.018099288,0.022445263,0.025130486,0.02100954,-0.07090919,0.023680972,-0.019254522,-0.0014957208,0.022613697,0.0039297035,-0.006128939,0.019309942,-0.0013476388,0.011055543,0.021657357,0.013070848,0.010111117,0.024655376,0.013811974,0.03267103,0.021610266,0.00993505,0.025204817,0.01665349,-0.008108789
